OBJECTID,Species,Count,Repeat Observation,Substrate,Sex,Breeding Activity,Observation Notes,Water Level,Observers,Starting Time,Ending Time,Starting Temp (F),Starting % Cloud Cover,Starting Cloud Height,Starting Wind Speed,Starting Wind Direction,Starting Rain,Ending Temp (F),Ending % Cloud Cover,Ending Cloud Height,Ending Wind Speed,Ending Wind Direction,Ending Rain,Weather Note,GlobalID,Speed (km/h),Direction of travel (°),Compass reading (°),Position source type,Receiver Name,Horizontal Accuracy (m),Vertical Accuracy (m),Latitude,Longitude,Altitude,PDOP,HDOP,VDOP,Fix Type,Correction Age,Station ID,Number of Satellites,Fix Time,Average Horizontal Accuracy (m),Average Vertical Accuracy (m),Averaged Positions,Standard Deviation (m),CreationDate,Creator,EditDate,Editor,x,y
1,Bufflehead,1,No,,,,,,,,,,,,,,,,,,,,,,f811b44d-1ce6-41df-89d0-2e34eb224533,,,,,,,,,,,,,,,,,,,,,,,10/27/2021 3:16:03 PM,ccber_user,10/27/2021 3:16:03 PM,ccber_user,-119.848383445139,34.4105923354136
2,Black-necked Stilt,2,No,,,,,,,,,,,,,,,,,,,,,,79918e14-c2f0-4d4c-8502-5ddcf0f7b4d6,,,,,,,,,,,,,,,,,,,,,,,10/27/2021 3:16:54 PM,ccber_user,10/27/2021 3:16:54 PM,ccber_user,-119.847992770035,34.4107823640916
3,Great Egret,1,No,,,,,,,,,,,,,,,,,,,,,,d42d60d2-5931-4f58-a2a9-6ea3580a6d43,,,,,,,,,,,,,,,,,,,,,,,10/27/2021 3:17:20 PM,ccber_user,10/27/2021 3:17:20 PM,ccber_user,-119.847926029705,34.4105802487693
4,American Coot,2,No,,,,,,,,,,,,,,,,,,,,,,5d2898a0-f368-4e52-b324-20053ae275d6,,,,,Samsung SM-T713,3.29,3.76,34.41094795,-119.848142883333,-30.7,1.1,0.7,0.8,1,,,13,10/27/2021 3:17:44 PM,,,,,10/27/2021 3:17:55 PM,ccber_user,10/27/2021 3:17:55 PM,ccber_user,-119.848142883333,34.41094795
5,Orange-crowned Warbler,1,No,,,,,,"CBS, MR",8:15,,58,0,,,,,,,,,,,,e7360bca-d190-4777-a7b7-5633a7868b0b,,,,,,,,,,,,,,,,,,,,,,,10/27/2021 3:24:36 PM,ccber_user,10/27/2021 3:24:36 PM,ccber_user,-119.849685114677,34.411477437181
6,Song Sparrow,1,No,,,,,,,,,,,,,,,,,,,,,,c64e7d4b-27bf-4621-854b-20ef40a3a19c,,,,,,,,,,,,,,,,,,,,,,,10/27/2021 3:24:55 PM,ccber_user,10/27/2021 3:24:55 PM,ccber_user,-119.849568480115,34.4114752783264
7,White-crowned Sparrow,1,No,,,,,,,,,,,,,,,,,,,,,,a0f5c9d6-d557-4a4d-9d4a-94b696867c68,,,,,,,,,,,,,,,,,,,,,,,10/27/2021 3:25:11 PM,ccber_user,10/27/2021 3:25:11 PM,ccber_user,-119.84959944145,34.4114352405683
8,Ruddy Duck,5,No,,,,,,,,,,,,,,,,,,,,,,b03c1d60-95fc-4b16-b545-837438c3b019,,,,,,,,,,,,,,,,,,,,,,,10/27/2021 3:25:48 PM,ccber_user,10/27/2021 3:26:20 PM,ccber_user,-119.849868179654,34.4113261200899
9,American Coot,2,No,,,,,,,,,,,,,,,,,,,,,,48076549-3730-4c15-8e12-567996733bee,,,,,,,,,,,,,,,,,,,,,,,10/27/2021 3:26:00 PM,ccber_user,10/27/2021 3:26:00 PM,ccber_user,-119.849770271372,34.411425961861
10,Western Gull,1,No,,,,,,,,,,,,,,,,,,,,,,018f884a-00e9-446f-b523-d0c3bf241ee4,,,,,,,,,,,,,,,,,,,,,,,10/27/2021 3:27:01 PM,ccber_user,10/27/2021 3:27:01 PM,ccber_user,-119.849860059782,34.4112787037482
