OBJECTID,Species,Count,Repeat Observation,Substrate,Sex,Breeding Activity,Observation Notes,Water Level,Observers,Starting Time,Ending Time,Starting Temp (F),Starting % Cloud Cover,Starting Cloud Height,Starting Wind Speed,Starting Wind Direction,Starting Rain,Ending Temp (F),Ending % Cloud Cover,Ending Cloud Height,Ending Wind Speed,Ending Wind Direction,Ending Rain,Weather Note,GlobalID,CreationDate,Creator,EditDate,Editor,Speed (km/h),Direction of travel (°),Compass reading (°),Position source type,Receiver Name,Horizontal Accuracy (m),Vertical Accuracy (m),Latitude,Longitude,Altitude,PDOP,HDOP,VDOP,Fix Type,Correction Age,x,y
1,Bufflehead,1,No,Water - Floating,,,,,,745,,45,0,,,,,,,,,,,,32c137af-80c8-4f37-b00b-f70e55758f68,12/17/21 15:50,ccber_user,12/17/21 15:50,ccber_user,,,,,,,,,,,,,,,,-119.849236,34.41085051
2,Ruddy Duck,1,No,,,,,,,,,,,,,,,,,,,,,,faf1c07a-e26b-4a2b-be75-b257c9df470d,12/17/21 15:51,ccber_user,12/17/21 15:51,ccber_user,,,,,,,,,,,,,,,,-119.849213,34.41106898
3,Great Egret,1,No,,,,,,Lisa Dan fontaine,,,,,,,,,,,,,,,,e4506b81-7e66-4585-9d74-c14c4eb8233e,12/17/21 15:52,ccber_user,12/17/21 15:52,ccber_user,,,,,,,,,,,,,,,,-119.847958,34.41043256
4,Red-breasted Merganser,1,No,,,,,,,,,,,,,,,,,,,,,,78c51084-c8b7-40c1-bdb8-3d98d4b3d659,12/17/21 15:54,ccber_user,12/17/21 15:54,ccber_user,,,,,,,,,,,,,,,,-119.8479177,34.41076977
5,Snowy Egret,24,No,,,,,,,,,,,,,,,,,,,,,,5eac0118-4836-4455-aa4c-ce2fa8c753a2,12/17/21 15:54,ccber_user,12/17/21 15:54,ccber_user,,,,,,,,,,,,,,,,-119.8480616,34.41018559
6,Double-crested Cormorant,30,No,,,,,,,,,,,,,,,,,,,,,,c2e5512d-c302-4ec6-b8d2-ce07d8cded48,12/17/21 15:55,ccber_user,12/17/21 15:55,ccber_user,,,,,,,,,,,,,,,,-119.8478947,34.40992963
7,Western Gull,11,No,,,,,,,,,,,,,,,,,,,,,,e1b8e81f-211d-439f-ac98-d8d8a043191f,12/17/21 15:55,ccber_user,12/17/21 15:55,ccber_user,,,,,,,,,,,,,,,,-119.8480731,34.40968741
8,Brown Pelican,9,No,,,,,,,,,,,,,,,,,,,,,,1097761a-afb7-4b8a-9c1c-b16247050da6,12/17/21 15:55,ccber_user,12/17/21 15:55,ccber_user,,,,,,,,,,,,,,,,-119.848194,34.41000582
9,Red-breasted Merganser,4,No,,,,,,,,,,,,,,,,,,,,,,e4606d19-ce64-4e3b-9af9-fedc2c9255b8,12/17/21 15:56,ccber_user,12/17/21 15:56,ccber_user,,,,,,,,,,,,,,,,-119.8478198,34.40945997
10,American Coot,1,No,,,,,,,,,,,,,,,,,,,,,,19e30327-248c-495e-ab07-e6ff3e0c4da3,12/17/21 15:57,ccber_user,12/17/21 15:57,ccber_user,,,,,,,,,,,,,,,,-119.8483034,34.4104716
11,Song Sparrow,1,No,,,,,,,,,,,,,,,,,,,,,,f5cafff6-d025-4461-89bc-e3174a231f2d,12/17/21 15:57,ccber_user,12/17/21 15:57,ccber_user,,,,,,,,,,,,,,,,-119.8478659,34.41084205
12,Black-necked Stilt,6,No,,,,,,,,,,,,,,,,,,,,,,072fd1e1-f55e-478b-9b3a-8aa563d0cca7,12/17/21 15:58,ccber_user,12/17/21 15:58,ccber_user,,,,,,,,,,,,,,,,-119.848125,34.41061408
13,Killdeer,5,No,,,,,,,,,,,,,,,,,,,,,,24ebe871-3ecd-4b6e-819d-eee0de789719,12/17/21 15:59,ccber_user,12/17/21 15:59,ccber_user,,,,,,,,,,,,,,,,-119.847836,34.41052859
14,Ruby-crowned Kinglet,1,No,,,,,,,,,,,,,,,,,,,,,,b8640fe5-8d1b-4863-a925-afd252e17aa9,12/17/21 16:01,ccber_user,12/17/21 16:01,ccber_user,,,,,,,,,,,,,,,,-119.8474472,34.4108215
15,Yellow-rumped Warbler,6,No,,,,,,,,,,,,,,,,,,,,,,848ee559-b3bc-4e4d-a940-260e747f162a,12/17/21 16:01,ccber_user,12/17/21 16:01,ccber_user,,,,,,,,,,,,,,,,-119.8475032,34.41067631
16,Song Sparrow,1,No,,,,,,,,,,,,,,,,,,,,,,0c8ebaca-325f-4c54-bfe4-951a7930640f,12/17/21 16:01,ccber_user,12/17/21 16:01,ccber_user,,,,,,,,,,,,,,,,-119.847548,34.41083998
17,Anna's Hummingbird,1,No,,,,,,,,,,,,,,,,,,,,,,ec56ae72-f21f-41f1-9d90-8002ba0a3f76,12/17/21 16:02,ccber_user,12/17/21 16:02,ccber_user,,,,,,,,,,,,,,,,-119.8473736,34.41070822
