OBJECTID,Species,Count,Repeat Observation,Substrate,Sex,Breeding Activity,Observation Notes,Water Level,Observers,Starting Time,Ending Time,Starting Temp (F),Starting % Cloud Cover,Starting Cloud Height,Starting Wind Speed,Starting Wind Direction,Starting Rain,Ending Temp (F),Ending % Cloud Cover,Ending Cloud Height,Ending Wind Speed,Ending Wind Direction,Ending Rain,Weather Note,GlobalID,CreationDate,Creator,EditDate,Editor,x,y
1,Dark-eyed Junco,2,No,,,,,,Lisa Dan chris,740,,55,0,,None,,,,,,,,,,77b4f80b-49b3-42cf-9cb5-4abf2f41a362,3/24/2021 2:49:08 PM,ccber_user,3/24/2021 2:49:08 PM,ccber_user,-119.847988433362,34.4112580830412
2,American Coot,3,No,,,,,,,,,,,,,,,,,,,,,,382609ed-b06d-45de-8d74-a1353b92725f,3/24/2021 2:59:46 PM,ccber_user,3/24/2021 2:59:46 PM,ccber_user,-119.847956397642,34.4107236192838
3,Red-tailed Hawk,1,No,Vegetation - Tree,,,,,,,,,,,,,,,,,,,,,7be5f515-ba62-4a97-9721-8875f46d5652,3/24/2021 3:00:30 PM,ccber_user,3/24/2021 3:00:30 PM,ccber_user,-119.848362181928,34.4090543587228
4,American Crow,1,No,Air,,,,,,,,,,,,,,,,,,,,,75600d5e-ca59-4417-951a-51e953d0038c,3/24/2021 3:01:17 PM,ccber_user,3/24/2021 3:01:17 PM,ccber_user,-119.847988433362,34.4093685832165
5,Belted Kingfisher,1,Yes,Vegetation - Tree,,,,,,,,,,,,,,,,,,,,,f9ad9d15-4d15-4cd8-9fcb-37fb6c24bb64,3/24/2021 3:01:44 PM,ccber_user,3/24/2021 3:01:44 PM,ccber_user,-119.849483427624,34.4102671996117
6,Northern Mockingbird,2,No,,,,,,,,,,,,,,,,,,,,,,1343a236-d25e-43b7-8b09-5374bf8c7a36,3/24/2021 3:02:05 PM,ccber_user,3/24/2021 3:04:42 PM,ccber_user,-119.84756841078,34.410111558105
7,House Finch,5,No,,,,,,,,,,,,,,,,,,,,,,56a161cd-7aeb-428f-bf09-895e225e04c5,3/24/2021 3:02:15 PM,ccber_user,3/24/2021 3:02:15 PM,ccber_user,-119.847522137661,34.4103141859357
8,Common Yellowthroat,1,No,,,,,,,,,,,,,,,,,,,,,,0c1626d2-27df-4ec2-a67a-c8ffb7674ef4,3/24/2021 3:02:28 PM,ccber_user,3/24/2021 3:02:28 PM,ccber_user,-119.847429590525,34.4105021309678
9,European Starling,5,No,,,,,,,,,,,,,,,,,,,,,,9fbf37ea-42ae-4c86-a28b-ed37c5be836c,3/24/2021 3:02:41 PM,ccber_user,3/24/2021 3:03:19 PM,ccber_user,-119.847445009209,34.4101047101329
10,Cassin's Kingbird,2,No,,,,,,,,,,,,,,,,,,,,,,6042c152-9941-44eb-af22-43b070a07390,3/24/2021 3:03:11 PM,ccber_user,3/24/2021 3:03:11 PM,ccber_user,-119.847459247506,34.4106656075843
11,Song Sparrow,2,No,,,,,,,,,,,,,,,,,,,,,,dfcc1a5f-0bfa-47ec-ab6e-a941bd69e5eb,3/24/2021 3:04:33 PM,ccber_user,3/24/2021 3:04:33 PM,ccber_user,-119.847585609924,34.4098639049888
12,Yellow-rumped Warbler,1,No,,,,,,,,,,,,,,,,,,,,,,e2c103a5-4ebd-4f6e-b28a-84f246a7e867,3/24/2021 3:05:06 PM,ccber_user,3/24/2021 3:05:06 PM,ccber_user,-119.847386277356,34.4099461312496
13,Least Sandpiper,2,No,,,,,,,,,,,,,,,,,,,,,,46dd4191-1f7d-44fd-b35e-80db658a484e,3/24/2021 3:06:31 PM,ccber_user,3/24/2021 3:06:31 PM,ccber_user,-119.847792061641,34.4100870899425
14,Long-billed Dowitcher,31,No,,,,,,,,,,,,,,,,,,,,,,22c2c171-499d-4d1f-bec0-20aa834f67fc,3/24/2021 3:06:55 PM,ccber_user,3/24/2021 3:08:09 PM,ccber_user,-119.847813419087,34.4099461312496
15,House Finch,2,No,,,,,,,,,,,,,,,,,,,,,,9e4d05cd-ada0-4e31-8f4e-a14b30a59ece,3/24/2021 3:07:12 PM,ccber_user,3/24/2021 3:07:12 PM,ccber_user,-119.847422705837,34.4097163847318
16,Hooded Oriole,1,No,,,,,,,,,,,,,,,,,,,,,,5c72bede-57c0-44a6-8266-d54d62af0583,3/24/2021 3:08:24 PM,ccber_user,3/24/2021 3:08:24 PM,ccber_user,-119.847454760421,34.4102244094913
17,Ruddy Duck,1,No,,,,,,,,,,,,,,,,,,,,,,ef35ddb3-3e89-464c-a47d-1a6d55120f99,3/24/2021 3:11:17 PM,ccber_user,3/24/2021 3:11:17 PM,ccber_user,-119.847664771263,34.4092494384811
18,Double-crested Cormorant,6,No,,,,,,,,,,,,,,,,,,,,,,87fa4627-3b08-47b5-9505-6615318ccc45,3/24/2021 3:11:41 PM,ccber_user,3/24/2021 3:11:41 PM,ccber_user,-119.847988686687,34.4083772416146
19,Brown Pelican,1,No,,,,,,,,,,,,,,,,,,,,,,46bf879c-2bf7-4a30-895f-a6b18511df23,3/24/2021 3:11:53 PM,ccber_user,3/24/2021 3:11:53 PM,ccber_user,-119.847796473267,34.4083889886488
20,Song Sparrow,1,No,,,,,,,,,,,,,,,,,,,,,,133df448-39ff-43f8-98de-7014f9111433,3/24/2021 3:12:31 PM,ccber_user,3/24/2021 3:12:31 PM,ccber_user,-119.847034737839,34.4094344495545
21,Anna's Hummingbird,2,No,,,,,,,,,,,,,,,,,,,,,,1e30ed6a-5c8b-4cf7-8e55-80883e228146,3/24/2021 3:14:06 PM,ccber_user,3/24/2021 3:14:06 PM,ccber_user,-119.846913715007,34.4093639689468
22,House Finch,3,No,,,,,,,,,,,,,,,,,,,,,,ecb38fc2-6717-4c02-a4f0-a2b031699717,3/24/2021 3:15:27 PM,ccber_user,3/24/2021 3:15:27 PM,ccber_user,-119.846862643987,34.4093065054813
23,Ruddy Duck,30,No,,,,,,,,,,,,,,,,,,,,,,e0781124-9bf5-4f2f-851e-c81a0518051e,3/24/2021 3:17:52 PM,ccber_user,3/24/2021 3:21:06 PM,ccber_user,-119.846449284209,34.4085031437951
24,Yellow-rumped Warbler,1,No,,,,,,,,,,,,,,,,,,,,,,d32eb7b5-fb76-45d5-b2c4-1402e7890572,3/24/2021 3:18:31 PM,ccber_user,3/24/2021 3:18:31 PM,ccber_user,-119.84659097458,34.4091721608071
25,Bushtit,2,No,,,,,,,,,,,,,,,,,,,,,,143684ac-d62a-47bb-9bc0-575c0945ec92,3/24/2021 3:21:33 PM,ccber_user,3/24/2021 3:21:33 PM,ccber_user,-119.846242738169,34.4091165537438
26,Song Sparrow,1,No,,,,,,,,,,,,,,,,,,,,,,479ef5bb-f628-4811-8800-6914a27638c6,3/24/2021 3:23:09 PM,ccber_user,3/24/2021 3:23:09 PM,ccber_user,-119.845989475242,34.409106747835
27,Scaly-breasted Munia,6,No,,,,,,,,,,,,,,,,,,,,,,92e58378-f764-4368-af59-7fed2010309f,3/24/2021 3:23:27 PM,ccber_user,3/24/2021 3:23:27 PM,ccber_user,-119.846114671647,34.409140970311
28,Orange-crowned Warbler,1,No,,,,,,,,,,,,,,,,,,,,,,009c3bdf-ab05-457d-8484-e756d49ff50e,3/24/2021 3:23:37 PM,ccber_user,3/24/2021 3:23:37 PM,ccber_user,-119.846083749838,34.4091104816548
29,Oak Titmouse,1,No,,,,,,,,,,,,,,,,,,,,,,7d4d2c5d-cc2b-41f8-b000-d419ed42dfd9,3/24/2021 3:23:45 PM,ccber_user,3/24/2021 3:23:45 PM,ccber_user,-119.8460596157,34.4091272816187
30,Yellow-rumped Warbler,1,No,,,,,,,,,,,,,,,,,,,,,,235c859c-8856-47e1-92a4-97ce19817fe2,3/24/2021 3:24:12 PM,ccber_user,3/24/2021 3:24:12 PM,ccber_user,-119.845951011178,34.4088763942467
31,Northern Mockingbird,1,No,,,,,,,,,,,,,,,,,,,,,,8494a254-c7e1-4d3a-a23d-7b19e60855fc,3/24/2021 3:24:51 PM,ccber_user,3/24/2021 3:24:51 PM,ccber_user,-119.84602567645,34.4088788829728
32,Song Sparrow,1,No,,,,,,,,,,,,,,,,,,,,,,e1ddbfd4-a9bc-46bd-be26-e102d215d246,3/24/2021 3:25:01 PM,ccber_user,3/24/2021 3:25:01 PM,ccber_user,-119.84608525811,34.4089006611752
33,Yellow-rumped Warbler,3,No,,,,,,,,,,,,,,,,,,,,,,f855268e-96a4-45bc-8ab4-31804040c010,3/24/2021 3:25:13 PM,ccber_user,3/24/2021 3:25:13 PM,ccber_user,-119.846002296896,34.4089274168212
34,House Finch,4,No,,,,,,,,,,,,,,,,,,,,,,c9b39fe8-e25d-4609-80d4-907d2def6d8e,3/24/2021 3:25:54 PM,ccber_user,3/24/2021 3:25:54 PM,ccber_user,-119.845772267098,34.4090263513453
35,Song Sparrow,1,No,,,,,,,,,,,,,,,,,,,,,,fc9c17d2-60b5-4b05-aef9-b84c69c825fc,3/24/2021 3:26:27 PM,ccber_user,3/24/2021 3:26:27 PM,ccber_user,-119.845373297433,34.4089894926143
36,Northern Mockingbird,1,No,,,,,,,,,,,,,,,,,,,,,,2a4aad81-93a3-4e94-8762-feafacda5734,3/24/2021 3:26:39 PM,ccber_user,3/24/2021 3:26:39 PM,ccber_user,-119.845381593374,34.4090299376834
37,White-crowned Sparrow,1,No,,,,,,,,,,,,,,,,,,,,,,a1ef96a7-ed6f-47b2-af7c-674d01714833,3/24/2021 3:27:37 PM,ccber_user,3/24/2021 3:27:37 PM,ccber_user,-119.845512069178,34.4091113984343
38,Anna's Hummingbird,1,No,,,,,,,,,,,,,,,,,,,,,,d1a3f031-3b8e-49ce-b28a-b2a0ea07d72a,3/24/2021 3:27:45 PM,ccber_user,3/24/2021 3:27:45 PM,ccber_user,-119.84539441413,34.4090678428746
