OBJECTID,Species,Count,Repeat Observation,Substrate,Sex,Breeding Activity,Observation Notes,Water Level,Observers,Starting Time,Ending Time,Starting Temp (F),Starting % Cloud Cover,Starting Cloud Height,Starting Wind Speed,Starting Wind Direction,Starting Rain,Ending Temp (F),Ending % Cloud Cover,Ending Cloud Height,Ending Wind Speed,Ending Wind Direction,Ending Rain,Weather Note,GlobalID,CreationDate,Creator,EditDate,Editor,x,y
1,Lesser Goldfinch,2,No,,,,,,"Darwin, Connor ",,,,,,,,,,,,,,,,fe5f0027-85e1-4ef4-934f-9b13bf5b4dcb,4/27/2021 2:11:30 PM,ccber_user,4/27/2021 2:15:06 PM,ccber_user,-119.848415173546,34.4111398696122
2,Cedar Waxwing,20,No,,,,,,,,,,,,,,,,,,,,,,fccfe10f-1bae-416d-bb18-bc42da6eb4fb,4/27/2021 2:13:48 PM,ccber_user,4/27/2021 2:14:46 PM,ccber_user,-119.84747824418,34.4110022173236
3,House Finch,5,No,,,,,,,,,,,,,,,,,,,,,,0c18e4cd-d4e5-4edb-ab37-b1cb32cf8a75,4/27/2021 2:14:12 PM,ccber_user,4/27/2021 2:14:12 PM,ccber_user,-119.847458992385,34.4107946797812
4,Bushtit,2,No,,,,,,,,,,,,,,,,,,,,,,83e89915-d16b-41b8-93b1-aae058902aba,4/27/2021 2:15:19 PM,ccber_user,4/27/2021 2:15:19 PM,ccber_user,-119.847810662157,34.4108497410086
5,Red-tailed Hawk,1,No,,,,,,,,,,,,,,,,,,,,,,0c21e03a-3e6e-4815-b88e-fdd369a9b3f3,4/27/2021 2:16:32 PM,ccber_user,4/27/2021 2:16:32 PM,ccber_user,-119.847623276284,34.4109026840919
6,Cedar Waxwing,50,No,Flyover,,,,,,,,,,,,,,,,,,,,,34453e4c-cfd3-4fcb-8117-477d499129fb,4/27/2021 2:17:26 PM,ccber_user,4/27/2021 2:17:26 PM,ccber_user,-119.848344583033,34.4103160706056
7,Cassin's Kingbird,2,No,,,,,,,,,,,,,,,,,,,,,,1a933b75-c50a-4cf7-aa5c-6d84a7ca5f86,4/27/2021 2:18:16 PM,ccber_user,4/27/2021 2:21:20 PM,ccber_user,-119.847503264057,34.4106443204614
8,Eurasian Collared-Dove,1,No,,,,,,,,,,,,,,,,,,,,,,4456bd6e-2577-40b4-b1b1-e93ef9c3c3b1,4/27/2021 2:19:13 PM,ccber_user,4/27/2021 2:19:13 PM,ccber_user,-119.847374918159,34.411131399427
9,Lesser Goldfinch,2,No,,,,,,,,,,,,,,,,,,,,,,2a0116b2-5479-4c76-8ac0-dbac81e78ec2,4/27/2021 2:21:12 PM,ccber_user,4/27/2021 2:21:12 PM,ccber_user,-119.847489197338,34.4103372481262
10,Song Sparrow,1,No,,,,,,,,,,,,,,,,,,,,,,ab235030-9deb-4bea-ad8c-80f6dbec415d,4/27/2021 2:21:34 PM,ccber_user,4/27/2021 2:21:34 PM,ccber_user,-119.847504598953,34.410500314485
11,Northern Mockingbird,1,No,,,,,,,,,,,,,,,,,,,,,,483cb444-8789-418d-b5fd-ae0537faf79d,4/27/2021 2:23:01 PM,ccber_user,4/27/2021 2:23:01 PM,ccber_user,-119.847558504159,34.4104304291534
