OBJECTID,Species,Count,Repeat Observation,Substrate,Sex,Breeding Activity,Observation Notes,Water Level,Observers,Starting Time,Ending Time,Starting Temp (F),Starting % Cloud Cover,Starting Cloud Height,Starting Wind Speed,Starting Wind Direction,Starting Rain,Ending Temp (F),Ending % Cloud Cover,Ending Cloud Height,Ending Wind Speed,Ending Wind Direction,Ending Rain,Weather Note,GlobalID,Speed (km/h),Direction of travel (°),Compass reading (°),Position source type,Receiver Name,Horizontal Accuracy (m),Vertical Accuracy (m),Latitude,Longitude,Altitude,PDOP,HDOP,VDOP,Fix Type,Correction Age,Station ID,Number of Satellites,Fix Time,Average Horizontal Accuracy (m),Average Vertical Accuracy (m),Averaged Positions,Standard Deviation (m),CreationDate,Creator,EditDate,Editor,x,y
1,Snowy Egret,1,No,Air,,,,,"SO, CB",7:41,,61,100,Fog,,,,,,,,,,,aa590439-dbec-4adc-a8d2-4a5c77ff4ed8,,,,,Samsung SM-T713,2.82,3.29,34.41104683,-119.8484073,-30.7,0.9,0.6,0.7,1,,,19,9/22/21 14:40,,,,,9/22/21 14:42,ccber_user,9/22/21 14:42,ccber_user,-119.8484073,34.41104683
2,Black-necked Stilt,1,No,,,,,,,,,,,,,,,,,,,,,,78d667da-2ad6-4d83-aca8-55e0204c72f9,,,,,,,,,,,,,,,,,,,,,,,9/22/21 14:44,ccber_user,9/22/21 14:44,ccber_user,-119.8489434,34.4111576
3,Greater Yellowlegs,1,No,,,,,,,,,,,,,,,,,,,,,,0b6ef1df-3cec-43b8-8d01-d88623c49f0c,,,,,,,,,,,,,,,,,,,,,,,9/22/21 14:44,ccber_user,9/22/21 14:44,ccber_user,-119.8488771,34.4111576
4,Ruddy Duck,4,No,,,,,,,,,,,,,,,,,,,,,,5f34e131-09bd-4f69-b94e-2305521f7c90,,,,,,,,,,,,,,,,,,,,,,,9/22/21 14:45,ccber_user,9/22/21 14:45,ccber_user,-119.849754,34.41094176
5,Pied-billed Grebe,3,No,,,,,,,,,,,,,,,,,,,,,,23be58bd-9423-4289-ab19-7a528b6f20b8,,,,,,,,,,,,,,,,,,,,,,,9/22/21 14:47,ccber_user,9/22/21 14:47,ccber_user,-119.8495477,34.41051616
6,Greater Yellowlegs,1,No,,,,,,,,,,,,,,,,,,,,,,4465d599-d6f7-4bc2-bea0-80605260d8c8,,,,,,,,,,,,,,,,,,,,,,,9/22/21 14:50,ccber_user,9/22/21 14:50,ccber_user,-119.849872,34.41139168
7,Black Phoebe,2,No,,,,,,,,,,,,,,,,,,,,,,a495a419-4f72-423d-bb77-3a5290d46ddf,,,,,,,,,,,,,,,,,,,,,,,9/22/21 14:50,ccber_user,9/22/21 14:52,ccber_user,-119.8499162,34.41140384
8,Black-necked Stilt,2,No,,,,,,,,,,,,,,,,,,,,,,6fc0ff2d-79b8-40d6-94e6-a69cfe7ecbdb,,,,,,,,,,,,,,,,,,,,,,,9/22/21 14:50,ccber_user,9/22/21 14:53,ccber_user,-119.8499899,34.4113552
9,Short-billed/Long-billed Dowitcher,1,No,,,,,,,,,,,,,,,,,,,,,,81e3364a-2744-4cbb-8e55-d17fb6d27c85,,,,,,,,,,,,,,,,,,,,,,,9/22/21 14:50,ccber_user,9/22/21 14:50,ccber_user,-119.8497098,34.41131872
10,Black Phoebe,1,No,,,,,,,,,,,,,,,,,,,,,,9d9ac1c5-a6bd-4a97-8154-a501654edecd,,,,,,,,,,,,,,,,,,,,,,,9/22/21 14:51,ccber_user,9/22/21 14:51,ccber_user,-119.8490097,34.4104128
11,Great Egret,1,No,,,,,,,,,,,,,,,,,,,,,,d7441938-6004-4c9c-bc15-463f148b0474,,,,,,,,,,,,,,,,,,,,,,,9/22/21 14:52,ccber_user,9/22/21 14:52,ccber_user,-119.8499751,34.41139168
12,Killdeer,4,No,,,,,,,,,,,,,,,,,,,,,,721d84a4-8227-48e1-80e7-bdc30e8e963e,,,,,,,,,,,,,,,,,,,,,,,9/22/21 14:52,ccber_user,9/22/21 14:52,ccber_user,-119.8502491,34.41115674
13,Western Sandpiper,1,No,,,,,,,,,,,,,,,,,,,,,,9cd81a27-1b17-4c2a-aabd-659ab45a9528,,,,,,,,,,,,,,,,,,,,,,,9/22/21 14:54,ccber_user,9/22/21 14:54,ccber_user,-119.8503744,34.4112297
14,American Crow,4,No,,,,,,,,,,,,,,,,,,,,,,1826a60b-d0c8-49ed-a3fc-4cf55c48f4a7,,,,,,,,,,,,,,,,,,,,,,,9/22/21 14:54,ccber_user,9/22/21 14:54,ccber_user,-119.8504186,34.41173086
15,Black-necked Stilt,1,No,,,,,,,,,,,,,,,,,,,,,,a42443c1-433a-42ba-8869-987c842d9e90,,,,,,,,,,,,,,,,,,,,,,,9/22/21 14:55,ccber_user,9/22/21 14:55,ccber_user,-119.8506471,34.41075806
16,Pied-billed Grebe,1,No,,,,,,,,,,,,,,,,,,,,,,6b361d19-4a43-4f14-a3c8-c045db67d6cf,,,,,,,,,,,,,,,,,,,,,,,9/22/21 14:57,ccber_user,9/22/21 14:57,ccber_user,-119.8505144,34.41090398
17,Anna's Hummingbird,1,No,,,,,,,,,,,,,,,,,,,,,,8440e46b-e845-4364-bbe9-69b44dd0d70a,,,,,Samsung SM-T713,2.82,3.29,34.41096773,-119.8510141,-26.8,1,0.6,0.7,1,,,18,9/22/21 14:57,,,,,9/22/21 14:58,ccber_user,9/22/21 14:58,ccber_user,-119.8510141,34.41096773
18,Common Yellowthroat,1,No,,,,,,,,,,,,,,,,,,,,,,d1e8138a-fd19-4748-8f79-634c63965434,,,,,,,,,,,,,,,,,,,,,,,9/22/21 14:58,ccber_user,9/22/21 14:58,ccber_user,-119.8510524,34.41102558
19,Selasphorus sp.,1,No,,,,,,,,,,,,,,,,,,,,,,76272625-62aa-4392-aa6f-a74185813efd,,,,,Samsung SM-T713,3.29,3.76,34.4109663,-119.8510076,-25.3,1,0.7,0.8,1,,,17,9/22/21 14:58,,,,,9/22/21 14:58,ccber_user,9/22/21 14:58,ccber_user,-119.8510076,34.4109663
20,American Crow,1,No,,,,,,,,,,,,,,,,,,,,,,6f39df27-5a06-4f20-95bd-a61f76beb7d7,,,,,,,,,,,,,,,,,,,,,,,9/22/21 14:59,ccber_user,9/22/21 14:59,ccber_user,-119.8511552,34.41066619
21,California Towhee,1,No,,,,,,,,,,,,,,,,,,,,,,8233a610-7272-4452-a5ff-b57eb34b865c,,,,,Samsung SM-T713,2.82,3.29,34.41024218,-119.8505083,-24,0.9,0.6,0.7,1,,,19,9/22/21 15:03,,,,,9/22/21 15:03,ccber_user,9/22/21 15:03,ccber_user,-119.8505083,34.41024218
22,Anna's Hummingbird,1,No,,,,,,,,,,,,,,,,,,,,,,e199b2ca-34bc-4396-8d90-28bebcbcea18,,,,,,,,,,,,,,,,,,,,,,,9/22/21 15:04,ccber_user,9/22/21 15:04,ccber_user,-119.8508236,34.41011291
23,Orange-crowned Warbler,1,No,,,,,,,,,,,,,,,,,,,,,,f579edd3-ea0e-42a4-bf51-0fbe37e78bfe,,,,,,,,,,,,,,,,,,,,,,,9/22/21 15:05,ccber_user,9/22/21 15:05,ccber_user,-119.8506762,34.41018587
24,Belted Kingfisher,1,No,,,,,,,,,,,,,,,,,,,,,,306134e2-6c04-4fb0-a077-4dd7123c8ca7,,,,,,,,,,,,,,,,,,,,,,,9/22/21 15:06,ccber_user,9/22/21 15:06,ccber_user,-119.8497107,34.40882392
25,Brown Pelican,1,No,Air,,,,,,,,,,,,,,,,,,,,,0d698e76-9f1d-4179-b739-a38039b35bac,,,,,,,,,,,,,,,,,,,,,,,9/22/21 15:07,ccber_user,9/22/21 15:07,ccber_user,-119.8499023,34.408995
26,Double-crested Cormorant,1,No,Air,,,,,,,,,,,,,,,,,,,,,ea174499-e025-4844-b066-c26e87b6f4eb,,,,,,,,,,,,,,,,,,,,,,,9/22/21 15:07,ccber_user,9/22/21 15:07,ccber_user,-119.8498092,34.40921056
27,Anna's Hummingbird,1,No,,,,,,,,,,,,,,,,,,,,,,f2c48767-d4b3-4865-affe-f4d3624df543,,,,,,,,,,,,,,,,,,,,,,,9/22/21 15:08,ccber_user,9/22/21 15:08,ccber_user,-119.8508188,34.4091376
28,Common Yellowthroat,1,No,,,,,,,,,,,,,,,,,,,,,,29242b83-8bc7-4ea3-a2be-3a6166da1098,,,,,,,,,,,,,,,,,,,,,,,9/22/21 15:08,ccber_user,9/22/21 15:08,ccber_user,-119.8504798,34.40924704
29,Great Blue Heron,1,No,Air,,,,,,,,,,,,,,,,,,,,,ef52bb6b-eac9-4bf1-a3ed-d621eabf2efb,,,,,,,,,,,,,,,,,,,,,,,9/22/21 15:09,ccber_user,9/22/21 15:09,ccber_user,-119.8499996,34.40870785
30,Anna's Hummingbird,2,No,,,,,,,,,,,,,,,,,,,,,,bfc83bf0-7ddf-4d6f-a2d6-c5bd079cad66,,,,,,,,,,,,,,,,,,,,,,,9/22/21 15:10,ccber_user,9/22/21 15:10,ccber_user,-119.8507587,34.40846464
31,Double-crested Cormorant,1,No,Air,,,,,,,,,,,,,,,,,,,,,9ab64d82-9e99-41a2-86d2-c47003af4810,,,,,,,,,,,,,,,,,,,,,,,9/22/21 15:11,ccber_user,9/22/21 15:11,ccber_user,-119.8499333,34.4082944
32,Common Yellowthroat,1,No,,,,,,,,,,,,,,,,,,,,,,d7aa3ff9-b350-40d4-8e18-35baa65b6510,,,,,Samsung SM-T713,2.35,3.29,34.40817433,-119.8503269,-28.8,0.9,0.5,0.7,1,,,20,9/22/21 15:12,,,,,9/22/21 15:12,ccber_user,9/22/21 15:12,ccber_user,-119.8503269,34.40817433
