OBJECTID,Species,Count,Repeat Observation,Substrate,Sex,Breeding Activity,Observation Notes,Water Level,Observers,Starting Time,Ending Time,Starting Temp (F),Starting % Cloud Cover,Starting Cloud Height,Starting Wind Speed,Starting Wind Direction,Starting Rain,Ending Temp (F),Ending % Cloud Cover,Ending Cloud Height,Ending Wind Speed,Ending Wind Direction,Ending Rain,Weather Note,GlobalID,CreationDate,Creator,EditDate,Editor,Speed (km/h),Direction of travel (°),Compass reading (°),Position source type,Receiver Name,Horizontal Accuracy (m),Vertical Accuracy (m),Latitude,Longitude,Altitude,PDOP,HDOP,VDOP,Fix Type,Correction Age,x,y
1,Killdeer,3,No,,,,,,"CB, MR",,,,,,,,,,,,,,,,90923d17-1a7d-49ce-81d3-e212698fee65,3/15/2022 2:53:46 PM,ccber_user,3/15/2022 5:30:49 PM,ccber_user,,,,,,,,,,,,,,,,-119.847876300258,34.4110848256214
2,Acorn Woodpecker,1,No,,,,,,,,,,,,,,,,,,,,,,280077a9-8671-434a-976a-05dea850da56,3/15/2022 2:54:01 PM,ccber_user,3/15/2022 2:54:01 PM,ccber_user,,,,,,,,,,,,,,,,-119.84836986432,34.4112600944201
3,Song Sparrow,1,No,,,,,,,,,,,,,,,,,,,,,,e6be6e6b-368b-4f25-8ca1-b78d2343df98,3/15/2022 2:54:10 PM,ccber_user,3/15/2022 2:54:10 PM,ccber_user,,,,,,,,,,,,,,,,-119.847839916693,34.4108895774636
4,House Finch,8,No,,,,,,,,,,,,,,,,,,,,,,1ed561b5-9e49-4fd3-b9d2-de327cbf1593,3/15/2022 2:56:30 PM,ccber_user,3/15/2022 2:58:41 PM,ccber_user,,,,,,,,,,,,,,,,-119.847556977921,34.4107524857885
5,Anna's Hummingbird,1,No,,,,,,,,,,,,,,,,,,,,,,e77341d1-58cc-4776-b748-ed51c4390987,3/15/2022 2:56:39 PM,ccber_user,3/15/2022 2:56:39 PM,ccber_user,,,,,,,,,,,,,,,,-119.847435717934,34.4110081432757
6,Scaly-breasted Munia,2,No,,,,,,,,,,,,,,,,,,,,,,93db72be-b17a-4f48-904d-db199714c9b5,3/15/2022 2:57:14 PM,ccber_user,3/15/2022 2:57:14 PM,ccber_user,,,,,,,,,,,,,,,,-119.847547995666,34.4107821274912
7,Yellow-rumped Warbler,2,No,,,,,,,,,,,,,,,,,,,,,,7a3e622f-6619-490a-82c0-a21b401fea54,3/15/2022 2:57:25 PM,ccber_user,3/15/2022 2:57:25 PM,ccber_user,,,,,,,,,,,,,,,,-119.847624344381,34.4109562704294
8,Song Sparrow,2,No,,,,,,,,,,,,,,,,,,,,,,54642920-d86c-4499-8c19-f090cc4bee37,3/15/2022 2:57:47 PM,ccber_user,3/15/2022 3:00:09 PM,ccber_user,,,,,,,,,,,,,,,,-119.847426736578,34.4108043587613
9,Orange-crowned Warbler,1,No,,,,,,,,,,,,,,,,,,,,,,9f65c6c8-83b0-4e39-9a5b-5771e64a0492,3/15/2022 2:57:57 PM,ccber_user,3/15/2022 2:57:57 PM,ccber_user,,,,,,,,,,,,,,,,-119.847633326635,34.4108488205426
10,Lesser Goldfinch,2,No,,,,,,,,,,,,,,,,,,,,,,6a5f53f6-ddec-4fe1-aa20-55830875ec44,3/15/2022 2:58:55 PM,ccber_user,3/15/2022 2:58:55 PM,ccber_user,,,,,,,,,,,,,,,,-119.847467156274,34.4108638696419
