OBJECTID,Species,Count,Repeat Observation,Substrate,Sex,Breeding Activity,Observation Notes,Water Level,Observers,Starting Time,Ending Time,Starting Temp (F),Starting % Cloud Cover,Starting Cloud Height,Starting Wind Speed,Starting Wind Direction,Starting Rain,Ending Temp (F),Ending % Cloud Cover,Ending Cloud Height,Ending Wind Speed,Ending Wind Direction,Ending Rain,Weather Note,GlobalID,Speed (km/h),Direction of travel (°),Compass reading (°),Position source type,Receiver Name,Horizontal Accuracy (m),Vertical Accuracy (m),Latitude,Longitude,Altitude,PDOP,HDOP,VDOP,Fix Type,Correction Age,Station ID,Number of Satellites,Fix Time,Average Horizontal Accuracy (m),Average Vertical Accuracy (m),Averaged Positions,Standard Deviation (m),CreationDate,Creator,EditDate,Editor,x,y
1,Black-necked Stilt,5,No,,,,,,Lisa Dan fontaine,740,,60,20,High,,,,,,,,,,,a1f4cfb2-7bad-48c7-a8c1-ce229d618b3a,,,,,,,,,,,,,,,,,,,,,,,9/18/2023 2:41:34 PM,ccber_user,9/18/2023 2:41:34 PM,ccber_user,-119.848804667782,34.4111153869282
2,Greater Yellowlegs,2,No,,,,,,,,,,,,,,,,,,,,,,b99a5274-8b4e-4dda-90fb-d2453684c023,,,,,,,,,,,,,,,,,,,,,,,9/18/2023 2:41:50 PM,ccber_user,9/18/2023 2:41:50 PM,ccber_user,-119.848730129173,34.4109989460437
3,Western Bluebird,1,No,,,,,,,,,,,,,,,,,,,,,,df910ff9-cc85-4741-9fa2-f64d681e9b44,,,,,,,,,,,,,,,,,,,,,,,9/18/2023 2:42:20 PM,ccber_user,9/18/2023 2:42:20 PM,ccber_user,-119.848419552833,34.4111756172084
4,Black-crowned Night-Heron,2,No,,,,,,,,,,,,,,,,,,,,,,7b053b92-a4d3-402f-845e-2c1d85b8456f,,,,,,,,,,,,,,,,,,,,,,,9/18/2023 2:42:40 PM,ccber_user,9/18/2023 2:42:40 PM,ccber_user,-119.85003351548,34.4112465061248
5,Song Sparrow,2,No,,,,,,,,,,,,,,,,,,,,,,afcd426f-eec7-4c9c-8147-3c2326c5a6ef,,,,,,,,,,,,,,,,,,,,,,,9/18/2023 2:43:22 PM,ccber_user,9/18/2023 2:43:22 PM,ccber_user,-119.849008826998,34.4112688891995
6,Killdeer,2,No,,,,,,,,,,,,,,,,,,,,,,d75be4b1-aed3-4e52-acb5-dbb3b63da399,,,,,,,,,,,,,,,,,,,,,,,9/18/2023 2:43:36 PM,ccber_user,9/18/2023 2:43:36 PM,ccber_user,-119.850093773571,34.4116122317116
7,California Towhee,2,No,,,,,,,,,,,,,,,,,,,,,,0e2dec76-4b00-4bec-a8f1-43206c2c07b9,,,,,,,,,,,,,,,,,,,,,,,9/18/2023 2:43:50 PM,ccber_user,9/18/2023 2:43:50 PM,ccber_user,-119.849946767868,34.4117164301168
8,Western Tanager,1,No,,,,,,,,,,,,,,,,,,,,,,cfffd58f-1bbd-4956-b9d0-4220bab40dc7,,,,,,,,,,,,,,,,,,,,,,,9/18/2023 2:43:59 PM,ccber_user,9/18/2023 2:43:59 PM,ccber_user,-119.850835016631,34.4114977843641
9,Great Blue Heron,1,No,,,,,,,,,,,,,,,,,,,,,,bd72eae9-2670-4c99-a797-4c13c3593010,,,,,,,,,,,,,,,,,,,,,,,9/18/2023 2:44:16 PM,ccber_user,9/18/2023 2:44:16 PM,ccber_user,-119.850342235002,34.4111271106033
10,Red-tailed Hawk,1,No,,,,,,,,,,,,,,,,,,,,,,33aa201c-f88f-4508-ba13-ba61ccf14a39,,,,,,,,,,,,,,,,,,,,,,,9/18/2023 2:44:38 PM,ccber_user,9/18/2023 2:44:38 PM,ccber_user,-119.848613397593,34.4090234564832
