objectid,global_id,date,time,common_name,scientific_name,e_bird_group,count,repeat_observation,substrate,sex,breeding_activity,observation_notes,observers,latitude,longitude,temp_start_f,cloud_cover_percent_start,cloud_height_start,wind_speed_start,wind_direction_start,rain_start,time_start,time_end,temp_end_f,cloud_cover_percent_end,cloud_height_end,wind_speed_end,wind_direction_end,rain_end,weather_note,creation_date,creator,edit_date,editor,source_file,starting_time,ending_time,starting_temp_f,starting_percent_cloud_cover,starting_cloud_height,starting_wind_speed,starting_wind_direction,starting_rain,ending_temp_f,ending_percent_cloud_cover,ending_cloud_height,ending_wind_speed,ending_wind_direction,ending_rain,year
1,{E77AB826-61BE-4467-B852-0A753D24DF31},2017-12-18,NA,Red-breasted Merganser,NA,NA,1,No,NA,NA,No,NA,"DR, DR, RC",34.41073284026183,-119.848827960199,42,0,Clear,None,None,None,7:30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CL_BirdSurveyData_2018.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017
2,{29BC4644-7B93-4034-94B9-F8A8C737AAA3},2017-12-18,NA,Ruddy Duck,NA,NA,2,No,NA,NA,No,NA,NA,34.41055340823646,-119.8489986086619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CL_BirdSurveyData_2018.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017
3,{523706A0-9884-46C1-9B87-E792D1889415},2017-12-18,NA,Greater Yellowlegs,NA,NA,1,No,NA,NA,No,NA,NA,34.41097962962991,-119.8488617449385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CL_BirdSurveyData_2018.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017
4,{89709D71-966B-4732-958B-2AB1DBBECC57},2017-12-18,NA,American Coot,NA,NA,2,No,NA,NA,No,NA,NA,34.41084832992388,-119.8489721227341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CL_BirdSurveyData_2018.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017
5,{542C0699-35C3-43AB-BA20-97BE7F8C67C3},2017-12-18,NA,Pied-billed Grebe,NA,NA,1,No,NA,NA,No,NA,NA,34.41044172455737,-119.8488412094511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CL_BirdSurveyData_2018.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017
6,{641B9F39-444F-4BCA-B2D5-983C3381CBD8},2017-12-18,NA,NOT LISTED,NA,NA,2,No,NA,NA,No,northern shoveler,NA,34.41056031768465,-119.8491492408637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CL_BirdSurveyData_2018.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017
7,{217E4DB1-6C22-4297-AA93-87FF3A994A90},2017-12-18,NA,Western Scrub-Jay,NA,NA,1,No,NA,NA,No,NA,NA,34.41148531370177,-119.8489155100066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CL_BirdSurveyData_2018.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017
8,{E07ABC15-CF17-4FA7-A079-EA5B95B4D76C},2017-12-18,NA,Song Sparrow,NA,NA,2,No,NA,NA,No,NA,NA,34.41130190203738,-119.8490011958099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CL_BirdSurveyData_2018.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017
9,{20629D16-A683-4E74-8999-6D4B6432E0C2},2017-12-18,NA,Bufflehead,NA,NA,2,No,NA,NA,No,"1 m, 1 f",NA,34.41068961460257,-119.8495655453192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CL_BirdSurveyData_2018.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017
10,{78807027-F243-449F-B546-D65440FFD5A1},2017-12-18,NA,Cassin's Kingbird,NA,NA,1,No,NA,NA,No,NA,NA,34.41161115562105,-119.8492848289794,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CL_BirdSurveyData_2018.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017
11,{F1FFB722-0B8F-4CCC-BC16-24406B71DE8A},2017-12-18,NA,Great Egret,NA,NA,1,No,NA,NA,No,NA,NA,34.41142942136639,-119.8493725530602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CL_BirdSurveyData_2018.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017
12,{DFC417C5-1285-464D-9F2D-F5A09E00A9A3},2017-12-18,NA,Ruddy Duck,NA,NA,1,No,NA,NA,No,NA,NA,34.41099036319481,-119.84961817851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CL_BirdSurveyData_2018.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017
13,{F92FB5F2-740E-469F-B409-74A0D06EC30E},2017-12-18,NA,Anna's Hummingbird,NA,NA,1,No,NA,NA,No,NA,NA,34.41163688841077,-119.8494095914977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CL_BirdSurveyData_2018.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017
14,{AE334699-F164-42C7-9829-5CA463036526},2017-12-18,NA,Green Heron,NA,NA,1,No,NA,NA,No,NA,NA,34.4114443829101,-119.8495164074732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CL_BirdSurveyData_2018.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017
15,{69E6AFE0-3AF1-4521-8332-008419B440B2},2017-12-18,NA,Ruddy Duck,NA,NA,1,No,NA,NA,No,NA,NA,34.41114790179861,-119.8495549110629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CL_BirdSurveyData_2018.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017
16,{17A5B71C-530F-4359-9A14-3A295391ED2C},2017-12-18,NA,Western Gull,NA,NA,2,No,NA,NA,No,NA,NA,34.41123049290692,-119.8500400606051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CL_BirdSurveyData_2018.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017
17,{BDD8BE32-7AD3-406D-A224-E0E777B99A35},2017-12-18,NA,Black-crowned Night Heron,NA,NA,1,No,NA,NA,No,NA,NA,34.41145285380472,-119.8500246589896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CL_BirdSurveyData_2018.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017
18,{0A9BEDBB-0629-45E2-BA3B-C5590320D7C5},2017-12-18,NA,Black-crowned Night Heron,NA,NA,1,No,NA,NA,No,NA,NA,34.41104201590911,-119.850899981894,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CL_BirdSurveyData_2018.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017
19,{83B2C54D-1CEA-4329-A66F-897110E44231},2017-12-18,NA,Ring-billed Gull,NA,NA,17,No,NA,NA,No,NA,NA,34.41116563145037,-119.8503117910971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CL_BirdSurveyData_2018.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017
20,{520A5DEF-9A0F-4CAA-B3BF-FE912E3DD3CC},2017-12-18,NA,Western Gull,NA,NA,1,No,NA,NA,No,NA,NA,34.41147345519479,-119.8502534275531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CL_BirdSurveyData_2018.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017
21,{53749813-1A47-4E1F-81B5-4629282BAEA9},2017-12-18,NA,American Coot,NA,NA,3,No,NA,NA,No,NA,NA,34.41118187220233,-119.8504890493639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CL_BirdSurveyData_2018.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017
22,{710A871D-AF1E-4514-AC16-2C1740FC513E},2017-12-18,NA,Snowy Egret,NA,NA,13,No,NA,NA,No,NA,NA,34.41107945254566,-119.8503335896158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CL_BirdSurveyData_2018.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017
23,{356037E9-683C-4EBD-BACC-F39D05874DFC},2017-12-18,NA,Great Egret,NA,NA,1,No,NA,NA,No,NA,NA,34.41090805569667,-119.8505946580037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CL_BirdSurveyData_2018.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017
24,{437DB4C9-F2B2-430B-AA58-7BF63116DAF5},2017-12-18,NA,Long-billed Dowitcher,NA,NA,17,No,NA,NA,No,NA,NA,34.41092407490517,-119.8509354222286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CL_BirdSurveyData_2018.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017
25,{C65712CB-8097-4A3A-BB71-CB111DDA7B1A},2017-12-18,NA,Pied-billed Grebe,NA,NA,2,No,NA,NA,No,NA,NA,34.41089585767686,-119.8507519637897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CL_BirdSurveyData_2018.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017
26,{DE0780AF-DE1C-4799-BADD-92C8E80B0094},2017-12-18,NA,Great Blue Heron,NA,NA,1,No,Vegetation - Tree,NA,No,NA,NA,34.41051731871865,-119.8505415756552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CL_BirdSurveyData_2018.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017
27,{C6526A3B-7BEC-463D-94A6-AAFCF8AB4597},2017-12-18,NA,American Pipit,NA,NA,1,No,NA,NA,No,NA,NA,34.41150989855068,-119.8505981964676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CL_BirdSurveyData_2018.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017
28,{F59550F7-BFF5-4BB5-9454-0649880CD689},2017-12-18,NA,Western Bluebird,NA,NA,5,No,NA,NA,No,flyover,NA,34.41129973354382,-119.8505782170373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CL_BirdSurveyData_2018.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017
29,{CBE1961B-CD34-4D4D-B7BA-DCB6BE2FE2F2},2017-12-18,NA,Black-necked Stilt,NA,NA,1,Yes,NA,NA,No,NA,NA,34.41105383297494,-119.8507664715815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CL_BirdSurveyData_2018.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017
30,{08ABFB99-F0AA-4719-8CB6-05AED50FE111},2017-12-18,NA,Anna's Hummingbird,NA,NA,5,No,NA,NA,No,NA,NA,34.41112293516984,-119.8512271429306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CL_BirdSurveyData_2018.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017
31,{4A2826A6-B823-40FC-9270-6F9D0539B25D},2017-12-18,NA,Yellow-rumped Warbler,NA,NA,1,No,NA,NA,No,NA,NA,34.41107520744509,-119.8512978511232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CL_BirdSurveyData_2018.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017
