objectid,date,time,common_name,scientific_name,e_bird_group,count,repeat_observation,substrate,sex,breeding_activity,observation_notes,observers,latitude,longitude,starting_time,ending_time,starting_temp_f,starting_percent_cloud_cover,starting_cloud_height,starting_wind_speed,starting_wind_direction,starting_rain,ending_temp_f,ending_percent_cloud_cover,ending_cloud_height,ending_wind_speed,ending_wind_direction,ending_rain,weather_note,creation_date,creator,edit_date,editor,year
283,2018-01-11,2018-01-11T08:52:45Z,Bufflehead,NA,NA,8,No,Water - Floating,NA,No,NA,Dan and Erica and lisa,34.41047347707791,-119.8485371764399,745,NA,NA,10,Clear,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-01-11T15:52:45Z,stratton@ccber.ucsb.edu_ucsb,2018-01-11T15:52:45Z,stratton@ccber.ucsb.edu_ucsb,2018
284,2018-01-11,2018-01-11T08:54:45Z,Belted Kingfisher,NA,NA,1,No,Vegetation - Tree,NA,No,caught fish,NA,34.41036123671078,-119.8486809248516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-01-11T15:54:45Z,stratton@ccber.ucsb.edu_ucsb,2018-01-11T15:54:45Z,stratton@ccber.ucsb.edu_ucsb,2018
285,2018-01-11,2018-01-11T08:55:25Z,Ring-billed Gull,NA,NA,1,No,Bare ground,NA,No,NA,NA,34.41077631417276,-119.8481726724369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-01-11T15:55:25Z,stratton@ccber.ucsb.edu_ucsb,2018-01-11T15:55:25Z,stratton@ccber.ucsb.edu_ucsb,2018
286,2018-01-11,2018-01-11T08:55:53Z,American Coot,NA,NA,4,No,Water - Floating,NA,No,NA,NA,34.41076360772769,-119.8479852865636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-01-11T15:55:53Z,stratton@ccber.ucsb.edu_ucsb,2018-01-11T15:55:53Z,stratton@ccber.ucsb.edu_ucsb,2018
287,2018-01-11,2018-01-11T08:56:20Z,Black-necked Stilt,NA,NA,4,No,Bare ground,NA,No,NA,NA,34.41064501414756,-119.8479750188199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-01-11T15:56:20Z,stratton@ccber.ucsb.edu_ucsb,2018-01-11T15:56:20Z,stratton@ccber.ucsb.edu_ucsb,2018
288,2018-01-11,2018-01-11T08:56:40Z,Ruddy Duck,NA,NA,1,No,Water - Floating,NA,No,NA,NA,34.41084619921546,-119.8481444365909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-01-11T15:56:40Z,stratton@ccber.ucsb.edu_ucsb,2018-01-11T15:56:40Z,stratton@ccber.ucsb.edu_ucsb,2018
289,2018-01-11,2018-01-11T08:57:10Z,Long-billed Dowitcher,NA,NA,2,No,Bare ground,NA,No,NA,NA,34.41086102301593,-119.8479185471279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-01-11T15:57:10Z,stratton@ccber.ucsb.edu_ucsb,2018-01-11T15:57:10Z,stratton@ccber.ucsb.edu_ucsb,2018
290,2018-01-11,2018-01-11T08:59:06Z,White-crowned Sparrow,NA,NA,1,No,Vegetation - Shrub,NA,No,NA,NA,34.41092243778149,-119.8482368462842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-01-11T15:59:06Z,stratton@ccber.ucsb.edu_ucsb,2018-01-11T15:59:06Z,stratton@ccber.ucsb.edu_ucsb,2018
291,2018-01-11,2018-01-11T08:59:34Z,Northern Mockingbird,NA,NA,1,No,Vegetation - Shrub,NA,No,NA,NA,34.4104946545587,-119.8475335076375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-01-11T15:59:34Z,stratton@ccber.ucsb.edu_ucsb,2018-01-11T15:59:34Z,stratton@ccber.ucsb.edu_ucsb,2018
292,2018-01-11,2018-01-11T08:59:55Z,Song Sparrow,NA,NA,2,No,Vegetation - Shrub,NA,No,NA,NA,34.41036547221301,-119.8475078382783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-01-11T15:59:55Z,stratton@ccber.ucsb.edu_ucsb,2018-01-11T16:02:46Z,stratton@ccber.ucsb.edu_ucsb,2018
