date,year,common_name,scientific_name,count,repeat_observation,substrate,observer,objectid,time,e_bird_group,sex,breeding_activity,observation_notes,latitude,longitude,starting_time,ending_time,starting_temp_f,starting_percent_cloud_cover,starting_cloud_height,starting_wind_speed,starting_wind_direction,starting_rain,ending_temp_f,ending_percent_cloud_cover,ending_cloud_height,ending_wind_speed,ending_wind_direction,ending_rain,weather_note,creation_date,creator,edit_date,editor,source_file,water_level,global_id,speed_km_h,direction_of_travel,compass_reading,position_source_type,receiver_name,horizontal_accuracy_m,vertical_accuracy_m,altitude,pdop,hdop,vdop,fix_type,correction_age,station_id,number_of_satellites,fix_time,average_horizontal_accuracy_m,average_vertical_accuracy_m,averaged_positions,standard_deviation_m,x,y,year_from_file
2018-01-11,2018,Bufflehead,NA,8,No,Water - Floating,Dan and Erica and lisa,283,2018-01-11T08:52:45Z,NA,NA,No,NA,34.41047347707791,-119.8485371764399,745,NA,NA,10,Clear,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-01-11T15:52:45Z,stratton@ccber.ucsb.edu_ucsb,2018-01-11T15:52:45Z,stratton@ccber.ucsb.edu_ucsb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-01-11,2018,Belted Kingfisher,NA,1,No,Vegetation - Tree,NA,284,2018-01-11T08:54:45Z,NA,NA,No,caught fish,34.41036123671078,-119.8486809248516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-01-11T15:54:45Z,stratton@ccber.ucsb.edu_ucsb,2018-01-11T15:54:45Z,stratton@ccber.ucsb.edu_ucsb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-01-11,2018,Ring-billed Gull,NA,1,No,Bare ground,NA,285,2018-01-11T08:55:25Z,NA,NA,No,NA,34.41077631417276,-119.8481726724369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-01-11T15:55:25Z,stratton@ccber.ucsb.edu_ucsb,2018-01-11T15:55:25Z,stratton@ccber.ucsb.edu_ucsb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-01-11,2018,American Coot,NA,4,No,Water - Floating,NA,286,2018-01-11T08:55:53Z,NA,NA,No,NA,34.41076360772769,-119.8479852865636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-01-11T15:55:53Z,stratton@ccber.ucsb.edu_ucsb,2018-01-11T15:55:53Z,stratton@ccber.ucsb.edu_ucsb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-01-11,2018,Black-necked Stilt,NA,4,No,Bare ground,NA,287,2018-01-11T08:56:20Z,NA,NA,No,NA,34.41064501414756,-119.8479750188199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-01-11T15:56:20Z,stratton@ccber.ucsb.edu_ucsb,2018-01-11T15:56:20Z,stratton@ccber.ucsb.edu_ucsb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-01-11,2018,Ruddy Duck,NA,1,No,Water - Floating,NA,288,2018-01-11T08:56:40Z,NA,NA,No,NA,34.41084619921546,-119.8481444365909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-01-11T15:56:40Z,stratton@ccber.ucsb.edu_ucsb,2018-01-11T15:56:40Z,stratton@ccber.ucsb.edu_ucsb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-01-11,2018,Long-billed Dowitcher,NA,2,No,Bare ground,NA,289,2018-01-11T08:57:10Z,NA,NA,No,NA,34.41086102301593,-119.8479185471279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-01-11T15:57:10Z,stratton@ccber.ucsb.edu_ucsb,2018-01-11T15:57:10Z,stratton@ccber.ucsb.edu_ucsb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-01-11,2018,White-crowned Sparrow,NA,1,No,Vegetation - Shrub,NA,290,2018-01-11T08:59:06Z,NA,NA,No,NA,34.41092243778149,-119.8482368462842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-01-11T15:59:06Z,stratton@ccber.ucsb.edu_ucsb,2018-01-11T15:59:06Z,stratton@ccber.ucsb.edu_ucsb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-01-11,2018,Northern Mockingbird,NA,1,No,Vegetation - Shrub,NA,291,2018-01-11T08:59:34Z,NA,NA,No,NA,34.4104946545587,-119.8475335076375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-01-11T15:59:34Z,stratton@ccber.ucsb.edu_ucsb,2018-01-11T15:59:34Z,stratton@ccber.ucsb.edu_ucsb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-01-11,2018,Song Sparrow,NA,2,No,Vegetation - Shrub,NA,292,2018-01-11T08:59:55Z,NA,NA,No,NA,34.41036547221301,-119.8475078382783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-01-11T15:59:55Z,stratton@ccber.ucsb.edu_ucsb,2018-01-11T16:02:46Z,stratton@ccber.ucsb.edu_ucsb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-01-11,2018,Song Sparrow,NA,1,No,Vegetation - Shrub,NA,293,2018-01-11T09:00:12Z,NA,NA,No,NA,34.41064077865942,-119.8478030345621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-01-11T16:00:12Z,stratton@ccber.ucsb.edu_ucsb,2018-01-11T16:00:12Z,stratton@ccber.ucsb.edu_ucsb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-01-11,2018,House Finch,NA,4,No,Vegetation - Tree,NA,294,2018-01-11T09:00:41Z,NA,NA,No,NA,34.41064289677409,-119.8474564995598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-01-11T16:00:41Z,stratton@ccber.ucsb.edu_ucsb,2018-01-11T16:02:07Z,stratton@ccber.ucsb.edu_ucsb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-01-11,2018,Anna's Hummingbird,NA,3,No,Vegetation - Shrub,NA,295,2018-01-11T09:01:01Z,NA,NA,No,NA,34.41076572509812,-119.8474564995598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-01-11T16:01:01Z,stratton@ccber.ucsb.edu_ucsb,2018-01-11T16:05:16Z,stratton@ccber.ucsb.edu_ucsb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-01-11,2018,Yellow-rumped Warbler,NA,4,No,Vegetation - Tree,NA,296,2018-01-11T09:01:18Z,NA,NA,No,NA,34.41085890564791,-119.8474693337902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-01-11T16:01:18Z,stratton@ccber.ucsb.edu_ucsb,2018-01-11T16:01:18Z,stratton@ccber.ucsb.edu_ucsb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-01-11,2018,European Starling,NA,9,No,NA,NA,297,2018-01-11T09:01:37Z,NA,NA,No,NA,34.41096055703844,-119.8474385305592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-01-11T16:01:37Z,stratton@ccber.ucsb.edu_ucsb,2018-01-11T16:05:03Z,stratton@ccber.ucsb.edu_ucsb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
